
"4","3","4","5","4","55 - 70 mins","Hemophilia course","Rick Fields-Gardner","66.82.32.1","rfg","Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)","03 Oct 2002","13:16:06"
"4","5","5","5","4","70 - 85 mins","zsdghdzghj","Rick Fields-Gardner","66.82.9.24","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","08 Oct 2002","12:11:56"
"5","5","5","5","5","40 - 55 mins","","Rick Fields-Gardner","66.82.9.31","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","14 Oct 2002","12:54:27"
"5","5","5","5","5","40 - 55 mins","","Rick Fields-Gardner","66.82.9.30","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","14 Oct 2002","15:58:56"
"5","5","5","5","5","35 - 50 mins","fdgyui","dhjdg","66.82.9.31","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","16 Oct 2002","09:48:00"
"5","5","5","5","5","70 - 85 mins","dfhjdhj","Rick Fields-Gardner","66.82.9.25","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","12:13:37"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.25","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","12:15:02"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.25","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","12:28:05"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.25","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","12:29:15"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.11","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","13:31:49"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.13","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","17:01:37"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.13","kparker","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","17:03:04"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.13","kparker","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","17:04:17"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.13","thousand oaks","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","23 Oct 2002","17:17:41"
"3","5","5","5","4","55 - 70 mins","","tom friedman","207.0.51.249","thousand oaks","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","23 Oct 2002","18:38:13"
"3","5","5","5","4","55 - 70 mins","","tom friedman","207.0.51.249","thousand oaks","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","23 Oct 2002","18:49:43"
"5","5","5","5","5","55 - 70 mins","","Cindy Lehnert","12.36.33.56","rfg","Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)","29 Oct 2002","15:39:36"
"5","5","5","5","5","Select One","","Risa Little","198.81.26.143","Prescott","Mozilla/4.0 (compatible; MSIE 6.0; AOL 8.0; Windows NT 5.1)","30 Oct 2002","16:35:16"
"4","4","5","5","5","40 - 55 mins","","Rick Fields-Gardner","66.82.9.27","kparker","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","31 Oct 2002","09:47:56"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.27","rfg","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","31 Oct 2002","10:48:27"
"5","5","5","5","5","70 - 85 mins","","Lisa Nicley","12.46.88.226","lnicley","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","31 Oct 2002","10:48:28"
"5","4","5","4","5","70 - 85 mins","","Rick Fields-Gardner","66.82.32.1","kparker","Mozilla/4.0 (compatible; MSIE 5.01; Windows 98)","31 Oct 2002","21:17:08"
"5","5","5","5","5","70 - 85 mins","","Rick Fields-Gardner","66.82.32.1","kparker","Mozilla/4.0 (compatible; MSIE 5.01; Windows 98)","31 Oct 2002","21:18:28"
"5","5","5","5","4","70 - 85 mins","","Rick Fields-Gardner","66.82.9.32","tmcgee","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","01 Nov 2002","08:29:25"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.32","tmcgee","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","01 Nov 2002","10:10:22"
"5","5","5","5","5","40 - 55 mins","","RAQUEL LEE","63.190.200.5","nazeez","Mozilla/4.76 [en] (Win98; U)","05 Nov 2002","17:13:10"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.33","tmcgee","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","06 Nov 2002","09:34:54"
"5","5","5","5","5","55 - 70 mins","","roseville","209.131.251.102","roseville","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","06 Nov 2002","12:08:05"
"5","5","5","5","5","Select One","","lisa","12.46.88.226","lnicley","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","07 Nov 2002","15:27:15"
"5","1","2","4","5","35 - 50 mins","","lisa","12.46.88.226","lnicley","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","07 Nov 2002","15:28:48"
"5","5","5","5","5","35 - 50 mins","","lisa","12.46.88.226","lnicley","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","07 Nov 2002","15:29:07"
"5","5","5","5","4","70 - 85 mins","","Rick Fields-Gardner","66.82.9.39","hi-r-ed","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","04 Dec 2002","11:41:26"
"5","5","5","5","5","< 35 mins","test","Mark","63.105.104.113","","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR 1.0.3705)","04 Dec 2002","12:19:52"
"5","5","4","4","5","70 - 85 mins","?","Rose Weverka","209.50.29.57","","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90)","13 Dec 2002","23:45:16"
"5","5","5","4","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.36","","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","19 Dec 2002","10:54:00"
"5","5","5","5","5","Select One","","amy gross","205.160.194.34","kradtke","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","19 Dec 2002","13:37:37"
"5","5","5","5","5","< 35 mins","","Christine Meny","205.160.194.34","","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","20 Dec 2002","10:14:41"
"5","4","5","5","4","35 - 50 mins","","Nancy Miller","205.160.194.34","","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","21 Dec 2002","10:11:07"
"5","5","5","5","5","Select One","","Nancy Miller","205.160.194.34","kradtke","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","21 Dec 2002","10:17:41"
"5","5","5","5","5","Select One","","DDouglas","208.187.147.248","","Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","24 Dec 2002","01:55:45"
"3","4","4","4","4","< 35 mins","","cathy Wang","207.0.51.249","","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)","26 Dec 2002","18:44:58"
"4","5","5","5","5","35 - 50 mins","","Barbara Dusenberry","208.243.31.2","","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.0.3705)","27 Dec 2002","07:49:21"
"4","5","5","5","5","35 - 50 mins","","Gary Needham","216.164.199.128","","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","03 Jan 2003","14:08:07"
"4","5","5","5","5","35 - 50 mins","","Gary Needham","216.164.201.231","","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","03 Jan 2003","14:53:36"
"4","5","5","5","5","35 - 50 mins","","Gary Needham","216.164.201.231","","Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)","03 Jan 2003","14:58:15"
"5","5","5","5","5","55 - 70 mins","","Rick Fields-Gardner","66.82.9.45","","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","03 Jan 2003","14:58:33"
"4","5","5","4","4","< 35 mins","","cedar rapids","65.100.17.111","","Mozilla/4.0 (compatible; MSIE 5.5; Windows 95)","06 Jan 2003","10:00:38"
